Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.85,13.89,13.61,13.63,11.142762,33717736.0
2010-01-05,13.69,13.96,13.6,13.89,11.355318,56788935.0
2010-01-06,13.87,13.93,13.67,13.7,11.19999,39484800.0
2010-01-07,13.73,13.82,13.52,13.61,11.12641,61702789.0
2010-01-08,13.5,13.5,13.33,13.45,10.99561,38862703.0
2010-01-11,14.0,14.12,13.64,13.72,11.216337,53040219.0
2010-01-12,13.65,14.42,13.61,14.28,11.674148,132550764.0
2010-01-13,14.1,14.22,13.74,13.83,11.306265,110239053.0
2010-01-14,13.84,13.98,13.67,13.88,11.347141,57759243.0
2010-01-15,13.9,14.0,13.68,13.78,11.265389,45357929.0
2010-01-18,13.7,13.74,13.61,13.72,11.216337,41736268.0
2010-01-19,13.75,14.1,13.74,13.85,11.322616,58392062.0
2010-01-20,13.88,13.94,13.66,13.67,11.175462,58250697.0
2010-01-21,13.63,13.79,13.5,13.51,11.04466,52730792.0
2010-01-22,13.31,13.62,13.27,13.53,11.061009,47826556.0
2010-01-25,13.4,13.53,13.34,13.39,10.946558,20194553.0
2010-01-26,13.39,13.44,13.1,13.15,10.750352,27775617.0
2010-01-27,13.17,13.24,13.08,13.14,10.74218,22758134.0
2010-01-28,13.17,13.2,13.07,13.12,10.725828,22578031.0
2010-01-29,13.1,13.17,13.03,13.08,10.693128,24237964.0
2010-02-01,13.03,13.04,12.7,12.83,10.488749,29315296.0
2010-02-02,12.9,13.03,12.8,12.82,10.480573,23155660.0
2010-02-03,12.87,13.07,12.7,13.04,10.660424,24394349.0
2010-02-04,12.99,13.05,12.89,12.91,10.55415,21357242.0
2010-02-05,12.74,12.8,12.6,12.71,10.390646,27075536.0
2010-02-08,12.73,12.9,12.67,12.7,10.38247,15417603.0
2010-02-09,12.7,12.79,12.67,12.76,10.431522,11670445.0
2010-02-10,12.81,12.86,12.75,12.84,10.496922,12043129.0
2010-02-11,12.85,12.93,12.82,12.87,10.521449,12394212.0
2010-02-12,12.91,13.02,12.81,13.01,10.635901,20743376.0
2010-02-22,12.91,13.06,12.81,12.92,10.562324,35649992.0
2010-02-23,12.92,12.96,12.71,12.84,10.496922,15115171.0
2010-02-24,12.78,12.97,12.7,12.96,10.595024,17947980.0
2010-02-25,12.95,13.11,12.91,13.05,10.668603,28302103.0
2010-02-26,13.02,13.05,12.95,13.0,10.627726,17916428.0
2010-03-01,12.99,13.09,12.96,13.06,10.676778,19944764.0
2010-03-02,13.06,13.08,12.9,12.95,10.586849,19354856.0
2010-03-03,12.95,13.03,12.89,12.99,10.61955,20830010.0
2010-03-04,12.99,13.0,12.75,12.78,10.447874,23544208.0
2010-03-05,12.8,12.85,12.7,12.8,10.464224,15714326.0
2010-03-08,12.74,12.88,12.74,12.85,10.505099,12327399.0
2010-03-09,12.85,12.94,12.74,12.88,10.529623,16570142.0
2010-03-10,12.87,12.99,12.8,12.85,10.505099,12640180.0
2010-03-11,12.87,13.02,12.81,12.94,10.578674,23099646.0
2010-03-12,12.95,12.96,12.8,12.82,10.480573,13703660.0
2010-03-15,12.8,12.82,12.61,12.66,10.349771,17544636.0
2010-03-16,12.65,12.71,12.59,12.66,10.349771,12077469.0
2010-03-17,12.69,12.82,12.65,12.82,10.480573,16737838.0
2010-03-18,12.83,12.86,12.76,12.8,10.464224,14375778.0
2010-03-19,12.79,12.86,12.73,12.86,10.513275,13951449.0
2010-03-22,12.84,12.91,12.81,12.85,10.505099,15485822.0
2010-03-23,12.86,12.95,12.8,12.81,10.472399,14266243.0
2010-03-24,12.83,12.91,12.73,12.77,10.439697,15103125.0
2010-03-25,12.78,12.78,12.63,12.65,10.341595,14995753.0
2010-03-26,12.65,12.8,12.58,12.77,10.439697,19479652.0
2010-03-29,12.81,13.05,12.76,12.93,10.570501,37388522.0
2010-03-30,12.95,13.0,12.88,12.92,10.562324,14437673.0
2010-03-31,12.92,12.95,12.82,12.84,10.496922,12810791.0
2010-04-01,12.85,12.93,12.85,12.91,10.55415,18365085.0
2010-04-02,13.0,13.02,12.9,12.98,10.611376,22143189.0
2010-04-06,13.06,13.07,12.94,12.98,10.611376,19886313.0
2010-04-07,12.96,12.99,12.88,12.91,10.55415,14500713.0
2010-04-08,12.89,12.92,12.73,12.76,10.431522,21840657.0
2010-04-09,12.75,12.84,12.73,12.81,10.472399,14294613.0
2010-04-12,12.85,12.88,12.73,12.76,10.431522,21040084.0
2010-04-13,12.77,13.06,12.77,13.05,10.668603,55608222.0
2010-04-14,13.08,13.08,12.9,12.97,10.603201,31523978.0
2010-04-15,12.97,13.25,12.9,13.23,10.815755,62154766.0
2010-04-16,13.23,13.23,13.0,13.04,10.660424,30341311.0
2010-04-19,12.96,12.96,12.45,12.49,10.210793,41264456.0
2010-04-20,12.53,12.62,12.34,12.42,10.153567,25224783.0
2010-04-21,12.44,12.57,12.37,12.56,10.268019,26702316.0
2010-04-22,12.52,12.52,12.33,12.34,10.088165,30897955.0
2010-04-23,12.35,12.4,12.17,12.25,10.014587,26241918.0
2010-04-26,12.28,12.33,12.18,12.2,9.973711,18986950.0
2010-04-27,12.18,12.19,11.82,11.92,9.744805,26716254.0
2010-04-28,11.92,12.05,11.82,11.99,9.802032,20422881.0
2010-04-29,12.03,12.13,11.95,11.95,9.769332,16801731.0
2010-04-30,11.96,12.12,11.86,12.1,9.891961,21449390.0
2010-05-04,11.97,12.08,11.92,11.97,9.785684,15629580.0
2010-05-05,11.84,11.95,11.66,11.92,9.744805,27139209.0
2010-05-06,11.84,11.84,11.22,11.31,9.246121,27845350.0
2010-05-07,11.1,11.15,10.98,11.04,9.025393,30422808.0
2010-05-10,11.06,11.13,10.92,11.08,9.058093,21059619.0
2010-05-11,11.26,11.26,10.95,10.98,8.976341,28101686.0
2010-05-12,10.9,11.15,10.82,11.11,9.082619,17319463.0
2010-05-13,11.09,11.26,11.04,11.22,9.172546,20254142.0
2010-05-14,11.16,11.22,11.06,11.15,9.115317,12668331.0
2010-05-17,11.08,11.08,10.71,10.73,8.771962,20301107.0
2010-05-18,10.73,10.95,10.7,10.89,8.902763,22342304.0
2010-05-19,10.86,10.97,10.72,10.87,8.886414,16503154.0
2010-05-20,10.87,10.87,10.87,10.87,8.886414,0.0
2010-05-21,10.6,10.87,10.45,10.84,8.861888,24770917.0
2010-05-24,10.84,11.18,10.84,11.1,9.074444,24702119.0
2010-05-25,11.03,11.04,10.84,10.85,8.870063,14095316.0
2010-05-26,10.84,10.91,10.78,10.81,8.837362,9676295.0
2010-05-27,10.83,10.96,10.71,10.92,8.927291,13237561.0
2010-05-28,11.03,11.11,10.93,10.96,8.959991,15842989.0
2010-05-31,11.05,11.12,10.8,10.85,8.870063,19102394.0
2010-06-01,10.9,11.05,10.75,10.86,8.87824,21963651.0
2010-06-02,10.81,10.81,10.6,10.77,8.804662,20726150.0
2010-06-03,10.64,10.78,10.61,10.62,8.788137,11894361.0
2010-06-04,10.62,10.67,10.52,10.61,8.779861,10395144.0
2010-06-07,10.46,10.49,10.35,10.38,8.589535,17573250.0
2010-06-08,10.38,10.46,10.34,10.38,8.589535,10762173.0
2010-06-09,10.4,10.65,10.36,10.6,8.771585,16741208.0
2010-06-10,10.55,10.67,10.52,10.63,8.796412,14644268.0
2010-06-11,10.68,10.86,10.65,10.69,8.846063,14062386.0
2010-06-15,,,,,,
2010-06-17,10.85,10.87,10.68,10.68,8.837789,15387681.0
2010-06-18,10.68,10.84,10.58,10.58,8.755035,14751704.0
2010-06-21,10.59,10.84,10.52,10.79,8.928814,15658023.0
2010-06-22,10.77,10.83,10.7,10.76,8.903986,11181095.0
2010-06-23,10.75,10.82,10.67,10.77,8.912263,13624108.0
2010-06-24,10.77,10.86,10.72,10.76,8.903986,10074788.0
2010-06-25,10.73,10.84,10.67,10.71,8.862612,10328767.0
2010-06-28,10.7,10.75,10.61,10.67,8.829513,9154784.0
2010-06-29,10.67,10.74,10.28,10.29,8.515059,21603166.0
2010-06-30,10.26,10.38,10.21,10.25,8.481958,13823694.0
2010-07-01,10.27,10.34,10.17,10.19,8.43231,10389746.0
2010-07-02,10.18,10.35,10.15,10.33,8.548158,17284705.0
2010-07-05,10.27,10.46,10.26,10.34,8.556434,18327064.0
2010-07-06,10.34,10.5,10.29,10.43,8.630909,16130672.0
