发行商,电影名,评论人数
破坏王拉尔夫  /  破坏王大冒险,无敌破坏王,179362
外婆的家  /  回家路上,爱·回家,46092
血腥钻石  /  滴血钻石,血钻,126721
皇上无话儿(港)  /  王者之声：宣战时刻(台),国王的演讲,329135
铁案悬谜  /  命悬一线,大卫·戈尔的一生,88462
Crazy Stone,疯狂的石头,302209
The Mission,枪火,96710
玩转脑朋友(港)  /  脑筋急转弯(台),头脑特工队,213028
麦兜的故事  /  My Life as McDull,麦兜故事,124194
暧暧内含光  /  美丽心灵的永恒阳光,暖暖内含光,140661
变种异煞  /  自然人,千钧一发,82226
一奏倾情(港)  /  曾经。爱是唯一(台),曾经,198304
玩转身前事(港)  /  一路玩到挂(台),遗愿清单,122619
浩劫重生(台)  /  劫后重生(港),荒岛余生,128693
横山家之味(港)  /  步伐不停,步履不停,64349
The Butterfly,蝴蝶,93252
相干性  /  相干效应,彗星来的那一夜,165576
明天别再来敲门(台)  /  想死冇咁易(港),一个叫欧维的男人决定去死,105251
小淘气尼古拉(台)  /  反斗小尼哥(港),巴黎淘气帮,102498
爱你  /  Late Blossom,我爱你,54141
月劫余生(港)  /  寂寞月影,月球,139280
与狼共舞,与狼共舞,54693
边个够我姜(港)  /  掠夺,偷拐抢骗,113141
次郎的寿司梦  /  梦见寿司的次郎,寿司之神,79756
吸血迷情,夜访吸血鬼,192835
终结者2  /  终结者2：末日审判,终结者2：审判日,137585
八千公物语  /  阿八的故事,忠犬八公物语,55611
地球不死人(港)  /  这个人来自洞穴,这个男人来自地球,174322
启动原始码(台)  /  危机解密(港),源代码,399462
夺面双雄,变脸,209214
New Dragon Gate Inn,新龙门客栈,178025
Swallowtail Butterfly  /  Suwarôteiru,燕尾蝶,106161
骇客任务完结篇：最后战役  /  廿二世纪杀人网络3：惊变世纪,黑客帝国3：矩阵革命,151007
好·坏·丑  /  独行侠决斗地狱门(港),黄金三镖客,49953
英伦情人(台)  /  别问我是谁(港),英国病人,170752
